commensal,species
Acidaminococcus intestini,s__Acidaminococcus intestini
Alistipes onderdonkii,s__Alistipes onderdonkii
Bacteroides fragilis,s__Bacteroides fragilis
Bacteroides uniformis,s__Bacteroides uniformis
Bifidobacterium breve,s__Bifidobacterium breve
Brevibacterium ravenspurgense,s__Brevibacterium ravenspurgense
Corynebacterium accolens,s__Corynebacterium accolens
Corynebacterium amycolatum,s__Corynebacterium amycolatum
Corynebacterium aurimucosum_E,s__Corynebacterium aurimucosum_E
Corynebacterium massiliense,s__Corynebacterium massiliense
Corynebacterium sp900539985,s__Corynebacterium sp900539985
Corynebacterium striatum,s__Corynebacterium striatum
Cutibacterium acnes,s__Cutibacterium acnes
Fimisoma sp000435715,s__Fimisoma sp000435715
Gleimia hominis,s__Gleimia hominis
Mediterraneibacter torques,s__Mediterraneibacter torques
Parabacteroides distasonis,s__Parabacteroides distasonis
Ruminococcus_B gnavus,s__Ruminococcus_B gnavus
Ruthenibacterium lactatiformans,s__Ruthenibacterium lactatiformans
Staphylococcus epidermidis,s__Staphylococcus epidermidis
Staphylococcus simulans,s__Staphylococcus simulans
UBA1417 sp900549945,s__UBA1417 sp900549945
Veillonella_A seminalis,s__Veillonella_A seminalis
Veillonella_A sp018364065,s__Veillonella_A sp018364065
